frame,tabuleiro,ms,rx,ry,rz,tx,ty,tz
160,False,173.00710000017716,,,,,,
161,False,151.25850000003993,,,,,,
162,False,122.26569999984349,,,,,,
163,True,40.53439999916009,-0.0899972262248985,-0.06081861349123485,3.109205478406199,4.174384753376409,1.2230151756842589,8.64314529078729
164,True,26.194599999143975,-0.08797125675706151,-0.04723186393608165,3.112295855288863,4.134523755182979,1.285016479484725,8.594749860545184
165,True,26.35019999979704,-0.08672171231822623,-0.04049385409533558,3.114131983098425,4.089520552370758,1.3483647002127337,8.546684980178815
166,True,26.43060000082187,-0.08406327504380069,-0.04430257054291307,3.115171922184233,4.048241638939509,1.4279560673329388,8.503834871713707
167,True,25.98310000030324,-0.08268250572249973,-0.053459634573056844,3.115920060820706,4.015762567816921,1.5134343686039964,8.484834847868456
168,True,8.037099998546182,-0.08222749392373499,-0.06029679084118865,3.1157824906104743,3.990928264964206,1.5997697381333185,8.46991951254911
169,True,16.608599999017315,-0.08225153256987529,-0.06676476793760121,3.1156105915719428,3.9663311576620197,1.673600943466837,8.47104573989564
170,True,16.370800000004238,-0.08550111187339574,-0.06882150882839382,3.1147623752626123,3.9455078015071563,1.7308166589754599,8.478251758848232
171,True,24.115400001392118,-0.08689591652562968,-0.06566191055403334,3.113335539940878,3.9337800409848147,1.7811272322963896,8.46766150927556
172,True,22.92669999951613,-0.08754604522463964,-0.06820898499473177,3.1116638439353865,3.935261215733959,1.8337798455700913,8.46168721967516
173,True,24.169299998902716,-0.09118566787698677,-0.07184755762702674,3.1096070662103665,3.948083068506173,1.8744649794239798,8.469252241104192
174,True,24.10809999855701,-0.09222697674725722,-0.07715647032014585,3.107810026461339,3.9611663503738477,1.9028912725615008,8.476904532227694
175,True,24.21630000026198,-0.09660403245175868,-0.07988285696244879,3.1061049539949566,3.9705656066745902,1.9204064603947018,8.487434138203364
176,True,25.451100000282167,-0.09941881986271602,-0.07932627695296537,3.1046735517690385,3.9750085931989783,1.9253806361706218,8.490352534729029
177,True,27.77339999920514,-0.10010940918671903,-0.07670093928642098,3.1030393401750835,3.9782170524562943,1.9198057654951592,8.480385362056056
178,True,30.41240000129619,-0.10193672133426948,-0.07598643988370246,3.101833070272004,3.9810376705876322,1.9106803294495807,8.477979862124911
179,True,31.45600000061677,-0.10324270810695793,-0.07441469189920026,3.1009248561644798,3.9886893042822704,1.9010552514897907,8.468080481935786
180,True,27.493300000060117,-0.10427311895656476,-0.07536765654017412,3.1001106947666033,4.0024762162507415,1.8912166937316581,8.463746939618428
181,True,13.378100000409177,-0.1039429754397596,-0.07377580909259723,3.099350690322467,4.025305524196171,1.8783663475836296,8.454958553551297
182,True,14.980299998569535,-0.10440889785207293,-0.07451765863027529,3.0982806195363093,4.057464215734161,1.8596671574235912,8.459748254257134
183,True,16.949099999692407,-0.10384071560163487,-0.07288739856148736,3.0973439134947327,4.102361706857046,1.835898806584655,8.458554016792583
184,True,13.226600000052713,-0.10425691271634978,-0.0702104599596412,3.097051542535414,4.1623720034851255,1.8134518550278984,8.46151955981286
185,True,15.220600000247941,-0.10476229566965337,-0.06600946070663327,3.096913012012618,4.237087498686204,1.7874652843613679,8.46338749078254
186,True,18.002599999817903,-0.10690303838417638,-0.06253343365374797,3.096445509175834,4.327136834187771,1.7589488161076394,8.469201551135487
187,True,13.885700000173529,-0.11133794819223843,-0.06044970988026565,3.095900507385167,4.4299385706956205,1.7327254621629773,8.4755149317935
188,True,28.61250000023574,-0.11297573271168247,-0.0570477127193663,3.0953862241862784,4.544143174614209,1.7094854505342993,8.477114092731615
189,True,27.655300000333227,-0.11553150841132821,-0.05377519295868817,3.0946601989887172,4.666062529928917,1.6851751820358736,8.481907294651366
190,True,29.910399998698267,-0.11899616719127083,-0.051425884051685106,3.093523199282405,4.793526140816252,1.6581158391757365,8.48947834633085
191,True,28.724899999360787,-0.12239673222793508,-0.04994841055739274,3.092801615766621,4.923374973047246,1.6328131627570859,8.496189460887857
192,True,10.72070000009262,-0.12591112150449735,-0.04925752159986963,3.09208637951748,5.0581052250286715,1.6107568719254137,8.505338241151202
193,True,9.140100000877283,-0.12823227612399973,-0.04871210716459136,3.0921078637832897,5.192568885037487,1.5931391245255435,8.510846963306692
194,True,8.999199999379925,-0.13042509018584883,-0.04695600850058121,3.092173010670595,5.326067262940181,1.57756503166019,8.515070301250947
195,True,8.521899999323068,-0.13279018584234378,-0.04576041549398399,3.092124933253301,5.456855796976584,1.5621837229244204,8.52283593911325
196,True,9.38010000027134,-0.13386538785917945,-0.04106893349035875,3.09263696438745,5.583372733631373,1.5476868523595484,8.522089910187386
197,True,26.516199999605305,-0.1380591867008035,-0.03886804395239352,3.092945083033422,5.706440835341253,1.5338024646658597,8.529424047998374
198,True,26.855500000237953,-0.14011431510844843,-0.038615264718353325,3.093107430219329,5.825189245671191,1.5204935980018335,8.532099598472806
199,True,26.31380000093486,-0.14506198151074662,-0.03489917147521895,3.093711310077809,5.938773861133035,1.5123522320263496,8.534497369447456
200,True,29.248400000142283,-0.14952471045851817,-0.03456247789399123,3.0946801666734816,6.048353876509681,1.5087235032254052,8.540843412437736
201,True,29.42330000041693,-0.15279203642058495,-0.0322796727231745,3.0953644982965827,6.157632104537223,1.5077355492729319,8.539118238204612
