imagem,rms_px
frame_0220.png,0.6285253763198853
frame_0400.png,1.3826074600219727
frame_0520.png,0.7003527879714966
frame_0580.png,0.560495138168335
frame_0640.png,0.8465105891227722
frame_0760.png,2.1658108234405518
frame_1000.png,1.1264139413833618
frame_1060.png,0.6212589144706726
frame_1180.png,0.6226722002029419
frame_1240.png,0.8169283866882324
frame_1420.png,0.8594743609428406
frame_1480.png,0.49882370233535767
frame_1540.png,0.545762300491333
frame_1600.png,0.6777205467224121
frame_1660.png,0.7513836622238159
frame_2020.png,0.9915902018547058
