frame,ms,deteccoes
0,62.370800000280724,4
1,60.841600001367624,4
2,61.44570000105887,5
3,62.21709999954328,5
4,61.47680000140099,5
5,60.321400000248104,6
6,63.38479999976698,5
7,62.09919999855629,6
8,60.0561999999627,5
9,65.1532000010775,5
10,62.5077999993664,5
11,61.267499999303254,4
12,64.32270000004792,6
13,60.761900000215974,6
14,60.41850000110571,6
15,61.47330000021611,6
16,59.890699998504715,5
17,58.838099999775295,6
18,64.94689999999537,6
19,61.9369000014558,5
20,61.01990000024671,2
21,61.572399999931804,3
22,61.57320000056643,4
23,61.221199999636156,4
24,60.73099999957776,4
25,60.94630000006873,4
26,63.97669999932987,4
27,60.667300000204705,4
28,61.818700000003446,4
29,63.251199999285745,4
30,72.66690000142262,3
31,83.77610000025015,4
32,75.90580000032787,5
33,69.68899999992573,4
34,60.836800001197844,4
35,66.37450000016543,4
36,60.880199998791795,4
37,61.233499998706975,4
38,83.92040000035195,4
39,86.73989999988407,4
40,62.42999999994936,3
41,63.943499999368214,3
42,65.06540000009409,3
43,63.02809999942838,3
44,59.42470000081812,4
45,60.902000001078704,4
46,62.147399999958,4
47,61.490000000048894,4
48,61.85889999869687,4
49,63.44039999930828,4
50,61.06780000118306,4
51,63.76780000027793,3
52,59.28449999919394,3
53,60.49960000018473,4
54,55.334500000753906,3
55,64.37909999840485,3
56,59.9636000006285,3
57,60.60830000023998,4
58,59.98309999995399,3
59,62.026600000535836,3
60,60.42560000059893,2
61,54.89639999905194,3
62,61.35390000054031,3
63,60.500499999761814,3
64,62.39869999990333,4
65,61.19039999975939,4
66,60.37060000016936,4
67,61.78170000021055,4
68,62.10880000071484,4
69,62.900799999624724,4
70,63.149399999019806,4
71,56.34029999964696,4
72,56.249399998705485,4
73,65.85509999968053,4
74,66.44219999907364,3
75,62.03529999947932,3
76,61.421899999913876,3
77,61.58519999917189,3
78,61.44330000097398,3
79,63.12249999973574,3
80,60.30829999872367,3
81,61.669099999562604,3
82,64.74209999942104,4
83,61.34120000024268,4
84,61.2968000004912,4
85,63.352799999847775,5
86,66.95760000002338,5
87,65.0898000003508,4
88,62.19960000089486,4
89,63.37679999887769,3
90,64.80419999934384,3
91,65.68510000033712,4
92,59.573799999270705,4
93,62.78569999994943,4
94,62.482099998305785,4
95,62.05200000113109,4
96,60.57109999892418,3
97,61.57319999874744,4
98,63.38599999980943,5
99,62.38629999825207,5
100,62.65700000039942,4
101,66.23650000074122,4
102,59.89390000104322,4
103,61.973600000783335,4
104,62.50449999970442,4
105,56.13899999843852,4
106,57.95949999992445,4
107,60.70630000067467,4
108,64.29319999915606,4
109,63.853499999822816,6
110,60.73070000093139,6
111,60.64119999973627,6
112,61.201799999253126,6
113,62.76849999994738,6
114,63.00579999879119,6
115,61.804200000551646,5
116,60.90039999980945,5
117,60.85429999984626,5
118,61.36520000109158,5
119,60.7916999997542,5
120,61.531199999080854,5
121,61.46369999987655,5
122,61.0406999985571,5
123,55.312999998932355,5
124,63.733000000866014,4
125,62.19200000123237,4
126,62.643900000693975,4
127,61.53289999929257,4
128,63.81909999981872,4
129,60.86900000082096,4
130,58.908699998937664,4
131,61.548099998617545,4
132,61.16440000005241,4
133,60.95889999960491,4
134,60.667499999908614,4
135,76.16950000010547,4
136,77.88859999891429,4
137,61.07959999826562,4
138,62.73380000129691,4
139,63.05690000044706,4
140,63.13190000037139,4
141,63.203100000464474,4
142,55.43559999932768,4
143,63.722799999595736,5
144,62.25040000026638,5
145,63.1799000002502,5
146,62.48500000037893,6
147,61.19790000047942,6
148,58.70859999959066,6
149,61.419900001055794,6
150,61.05240000033518,6
151,61.25559999964025,6
152,59.929200000624405,6
153,62.49190000016824,6
154,61.763300000166055,6
155,63.02780000078201,6
156,62.66000000141503,6
157,60.70169999838981,6
158,64.93540000155917,6
159,63.42840000070282,6
160,64.2664999995759,6
161,64.37080000068818,6
162,62.26539999988745,6
163,61.52540000039153,6
164,60.832099999970524,6
165,63.54319999991276,6
166,61.35250000079395,6
167,62.03529999947932,6
168,60.899199999767006,6
169,60.8420999997179,6
170,64.39849999878788,6
171,59.98840000029304,6
172,60.03020000025572,5
173,63.74049999976705,5
174,61.102800000298885,5
175,58.68899999950372,7
176,60.26190000011411,6
177,62.728900000365684,6
178,60.70039999940491,6
